Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
76,9,16,23,25,30,38,47,55,62,73,89,107,116,141,156,161,188,214,239,268,281,308,333,362,400,423,443,468,491,518,547,567,602,620,644,678,709,740,751,771,820,838,871,906,945,997,1019,1075,1104,1141,1206,1231,1282,1318,1368,1390,1494,1509,1585,1693,2044
75,10,17,24,26,31,40,49,58,66,78,96,114,124,149,164,171,199,227,252,283,297,325,350,379,420,442,463,489,514,540,573,593,628,647,672,707,739,771,779,803,852,874,906,940,982,1034,1054,1116,1143,1183,1254,1272,1333,1358,1415,1443,1542,1563,1637,1751,2111
74,10,18,25,27,33,42,52,62,69,83,101,121,133,158,174,181,211,238,268,298,315,341,368,398,439,465,483,513,534,565,597,618,653,674,700,736,766,804,812,837,883,906,939,975,1017,1074,1089,1154,1185,1224,1291,1313,1376,1398,1465,1491,1589,1621,1689,1806,2186
73,10,19,26,29,34,44,55,65,74,88,107,128,141,166,183,191,223,252,281,313,330,357,387,416,461,486,503,536,557,587,623,645,679,702,730,763,793,834,844,867,917,941,972,1010,1052,1112,1124,1194,1225,1266,1331,1361,1423,1443,1512,1539,1643,1668,1736,1868,2262
72,11,19,27,30,36,46,57,69,79,93,113,136,148,176,193,200,235,266,296,327,346,375,405,436,481,507,525,560,580,610,648,672,707,729,758,792,823,862,874,899,953,976,1005,1044,1087,1149,1159,1232,1265,1314,1369,1410,1468,1490,1555,1583,1686,1717,1796,1925,2335
71,11,20,28,31,37,48,61,72,82,99,119,142,157,186,204,210,247,281,312,343,363,393,422,456,501,529,550,584,604,632,675,695,732,756,784,820,851,892,904,929,981,1008,1037,1082,1125,1184,1197,1272,1307,1358,1410,1453,1519,1532,1604,1624,1730,1758,1852,1979,2408
70,12,21,30,32,38,50,64,77,87,105,127,150,165,195,217,221,261,294,327,360,381,411,441,476,521,550,572,603,629,655,700,723,762,783,812,851,883,924,936,958,1013,1040,1075,1114,1160,1219,1234,1307,1345,1397,1450,1495,1561,1573,1644,1668,1783,1811,1902,2029,2477
69,12,23,32,34,41,52,67,82,92,112,136,158,174,206,228,233,273,309,342,377,398,429,460,496,542,572,595,628,654,680,726,751,787,809,844,880,914,955,968,990,1046,1074,1113,1144,1197,1260,1267,1344,1391,1440,1496,1539,1605,1622,1692,1713,1835,1851,1953,2080,2536
68,13,23,33,35,42,55,71,86,98,117,144,167,184,215,238,246,287,325,355,394,417,449,480,517,565,594,621,651,675,707,750,776,815,837,871,911,943,983,1000,1022,1080,1106,1148,1180,1234,1299,1302,1380,1431,1485,1546,1580,1648,1672,1739,1761,1876,1900,2017,2132,2607
67,14,24,34,37,44,58,74,91,104,123,151,176,193,227,251,261,301,341,370,412,434,469,500,539,587,618,647,675,699,733,777,801,845,865,900,940,975,1016,1030,1057,1113,1138,1185,1218,1272,1333,1342,1417,1470,1525,1590,1621,1692,1717,1780,1807,1919,1946,2078,2188,2678
66,14,26,35,38,46,60,78,94,109,129,160,185,203,239,265,273,316,357,387,429,453,490,521,560,608,640,670,702,725,762,805,830,874,896,929,968,1006,1045,1061,1093,1147,1171,1220,1255,1307,1367,1382,1451,1514,1567,1634,1665,1738,1765,1826,1855,1967,2003,2145,2249,2738
65,15,27,37,39,48,64,81,99,115,137,169,194,213,250,278,286,331,375,404,446,473,507,542,583,631,665,694,723,750,787,834,857,901,924,961,998,1035,1076,1093,1127,1182,1207,1258,1292,1341,1402,1420,1493,1559,1607,1681,1709,1785,1810,1875,1898,2015,2044,2203,2294,2797
64,15,28,39,41,51,67,86,104,121,144,178,204,224,263,295,301,345,392,422,463,493,529,563,607,652,687,719,747,777,813,858,884,930,954,990,1029,1066,1108,1128,1160,1214,1244,1294,1330,1379,1439,1459,1533,1605,1647,1721,1756,1827,1850,1921,1953,2059,2096,2259,2346,2842
63,16,29,40,43,52,71,90,109,128,152,188,215,237,274,308,315,361,409,439,481,514,550,587,633,675,709,744,772,802,840,884,914,958,985,1024,1059,1095,1140,1161,1191,1250,1277,1329,1365,1413,1480,1500,1572,1647,1686,1771,1798,1870,1897,1967,2000,2102,2145,2307,2407,2909
62,17,30,42,44,55,74,94,114,134,160,201,226,250,287,321,329,376,427,456,499,536,571,609,656,699,734,768,798,827,869,912,942,989,1014,1055,1088,1126,1174,1192,1229,1281,1312,1365,1403,1452,1520,1537,1613,1688,1727,1816,1835,1919,1941,2024,2056,2160,2206,2357,2457,2976
61,18,31,43,46,57,78,100,121,142,168,211,235,264,301,334,345,392,444,474,519,558,591,630,679,721,759,795,824,855,899,941,968,1018,1043,1088,1123,1157,1205,1221,1260,1319,1346,1401,1442,1491,1559,1579,1651,1732,1766,1859,1879,1964,1985,2074,2097,2213,2260,2401,2509,3035
60,18,33,45,48,60,81,104,126,149,176,221,248,275,316,352,362,410,460,492,540,579,613,651,703,746,784,820,851,881,929,972,1001,1047,1074,1122,1156,1187,1241,1257,1294,1354,1380,1434,1480,1527,1594,1618,1691,1775,1806,1906,1927,2011,2038,2114,2142,2270,2314,2450,2565,3161
59,19,34,46,51,63,85,110,132,156,185,234,260,287,333,365,378,427,478,511,560,599,635,675,725,768,811,847,879,907,957,1000,1028,1079,1105,1152,1186,1222,1270,1290,1328,1390,1419,1468,1516,1567,1626,1659,1729,1820,1849,1950,1977,2069,2083,2154,2200,2325,2365,2519,2615,3211
58,20,36,48,53,65,89,116,139,163,195,245,275,303,348,380,397,446,495,531,585,620,658,697,749,793,837,875,901,938,987,1029,1062,1112,1139,1183,1217,1256,1306,1328,1365,1425,1457,1505,1553,1608,1671,1703,1769,1859,1889,1994,2020,2114,2130,2200,2239,2385,2413,2566,2661,3242
57,21,37,50,56,68,93,122,145,171,204,257,290,318,364,397,416,465,514,552,605,643,678,721,774,818,864,899,931,968,1015,1058,1090,1142,1175,1215,1253,1289,1337,1367,1398,1467,1497,1540,1589,1651,1714,1740,1807,1899,1930,2038,2061,2153,2181,2247,2285,2421,2474,2609,2702,3259
56,21,38,51,58,71,96,128,153,179,215,268,307,333,381,413,436,483,536,575,627,665,701,743,799,844,892,926,959,999,1044,1088,1120,1172,1208,1248,1283,1321,1373,1399,1432,1502,1536,1576,1632,1692,1752,1783,1846,1946,1972,2084,2109,2200,2234,2299,2333,2473,2517,2654,2766,.
55,22,39,53,61,75,99,136,162,188,226,282,320,348,400,429,453,502,557,594,650,687,724,769,824,871,923,954,986,1027,1072,1119,1149,1202,1241,1286,1315,1359,1404,1435,1468,1539,1575,1615,1674,1734,1793,1825,1885,1992,2013,2128,2160,2251,2282,2356,2384,2519,2574,2712,2818,.
54,23,41,56,63,78,104,143,170,198,237,295,335,365,416,448,472,523,579,617,673,709,747,793,848,897,949,979,1014,1055,1102,1151,1178,1236,1277,1317,1350,1397,1439,1469,1505,1574,1616,1656,1709,1773,1837,1861,1930,2033,2058,2179,2209,2289,2327,2418,2437,2565,2612,2770,2853,.
53,24,43,58,66,81,108,150,176,208,248,309,350,380,435,467,488,542,600,638,697,735,771,820,876,928,976,1007,1044,1085,1133,1182,1209,1271,1310,1354,1386,1433,1475,1507,1543,1612,1658,1698,1747,1810,1878,1899,1968,2076,2103,2229,2260,2338,2373,2462,2485,2616,2660,2830,2906,.
52,25,44,60,69,85,114,157,184,218,259,325,363,395,453,484,508,564,622,660,719,759,794,844,902,953,1004,1035,1074,1116,1168,1216,1242,1305,1343,1390,1423,1469,1515,1547,1580,1654,1697,1738,1785,1851,1917,1937,2009,2117,2148,2271,2307,2397,2422,2515,2532,2690,2705,2889,2969,.
51,26,46,63,71,89,119,164,191,229,273,339,379,414,469,504,526,586,643,681,744,780,819,872,929,981,1031,1064,1102,1147,1199,1246,1277,1341,1377,1425,1461,1505,1552,1584,1616,1691,1740,1775,1825,1890,1954,1981,2049,2161,2191,2304,2361,2440,2473,2557,2583,2740,2757,2954,3019,.
50,27,47,65,74,93,125,171,201,240,285,355,396,429,487,524,549,608,663,705,766,809,846,899,960,1009,1059,1095,1137,1179,1232,1281,1312,1381,1416,1458,1498,1540,1594,1621,1653,1730,1784,1819,1870,1937,1991,2028,2094,2204,2232,2364,2417,2482,2527,2606,2632,2792,2808,3025,3063,.
49,28,49,67,78,99,131,179,215,253,299,371,416,449,508,544,572,630,686,728,790,833,869,924,988,1039,1088,1124,1167,1212,1265,1313,1347,1412,1454,1494,1531,1576,1627,1657,1698,1766,1828,1863,1916,1986,2036,2072,2136,2250,2284,2410,2467,2552,2581,2655,2685,2855,2868,3065,3118,.
48,29,51,70,83,102,135,187,225,265,312,388,434,470,529,565,595,654,712,753,818,860,899,950,1017,1067,1120,1156,1200,1249,1296,1343,1385,1446,1494,1535,1568,1616,1670,1702,1742,1805,1879,1904,1958,2031,2076,2117,2179,2301,2332,2444,2526,2618,2628,2700,2739,2910,2900,3125,3183,.
47,30,53,74,86,108,142,200,237,274,325,405,451,487,548,589,617,677,736,776,844,885,926,979,1048,1099,1151,1189,1232,1283,1334,1377,1421,1484,1531,1574,1606,1653,1709,1742,1786,1849,1922,1948,1998,2079,2121,2155,2218,2342,2378,2481,2595,2664,2681,2750,2798,2943,2938,3168,3238,.
46,31,55,77,90,114,150,209,251,289,339,423,470,509,572,615,641,700,765,801,872,912,955,1007,1079,1129,1184,1223,1266,1316,1371,1413,1456,1524,1566,1614,1644,1697,1754,1787,1826,1899,1970,1989,2048,2125,2164,2199,2263,2390,2426,2520,2651,2706,2723,2808,2843,3008,3001,3233,.,.
45,32,58,80,94,119,155,219,264,304,355,440,493,527,595,640,667,724,788,826,900,939,984,1037,1110,1161,1217,1256,1304,1351,1405,1448,1493,1563,1601,1652,1680,1739,1795,1826,1868,1940,2014,2033,2092,2168,2206,2245,2313,2442,2472,2565,2695,2769,2769,2851,2907,3082,3077,.,.,.
44,33,61,84,99,125,163,230,279,321,369,459,517,549,620,665,690,749,813,854,927,970,1013,1065,1141,1195,1248,1289,1342,1385,1443,1485,1531,1600,1638,1690,1715,1783,1837,1867,1909,1980,2061,2074,2135,2211,2251,2293,2360,2487,2510,2614,2742,2806,2813,2911,2945,3142,3113,.,.,.
43,35,63,88,103,129,171,239,293,336,386,482,537,571,641,686,714,775,839,882,956,1000,1042,1093,1173,1226,1279,1320,1379,1420,1477,1527,1569,1647,1678,1734,1752,1825,1877,1907,1953,2024,2104,2118,2183,2255,2298,2342,2412,2537,2557,2657,2809,2843,2858,2982,2992,3186,3191,.,.,.
42,36,66,91,109,134,179,253,309,352,402,501,556,590,665,710,740,798,870,911,984,1031,1070,1121,1206,1264,1314,1355,1413,1458,1512,1568,1609,1685,1719,1779,1794,1865,1921,1954,2000,2076,2154,2157,2225,2309,2345,2389,2455,2585,2607,2705,2864,2919,2918,3027,3031,3219,3221,.,.,.
41,38,69,94,114,139,190,265,321,369,421,521,580,612,688,732,765,825,899,936,1014,1062,1102,1155,1241,1298,1352,1391,1449,1494,1549,1609,1652,1725,1762,1824,1838,1904,1962,1996,2049,2124,2199,2203,2278,2360,2390,2439,2503,2631,2660,2735,2914,2993,2980,3082,3090,3235,3228,.,.,.
40,40,72,99,120,145,199,278,335,385,441,541,604,638,714,760,788,852,928,967,1045,1095,1132,1191,1273,1336,1388,1429,1493,1534,1584,1651,1694,1770,1809,1875,1874,1951,2012,2039,2093,2177,2251,2257,2327,2411,2428,2478,2549,2678,2723,2786,2953,3047,3044,3130,3176,3257,3228,.,.,.
39,42,75,104,126,153,210,291,355,404,463,564,626,670,737,789,812,881,956,999,1076,1129,1163,1225,1305,1371,1422,1471,1531,1575,1627,1685,1734,1811,1855,1921,1912,1995,2063,2086,2141,2228,2299,2310,2379,2458,2468,2526,2607,2728,2779,2841,3012,3092,3083,3189,3256,.,3273,.,.,.
38,44,79,109,132,162,221,308,374,420,484,591,653,696,765,815,838,910,990,1031,1108,1162,1198,1257,1343,1406,1456,1508,1570,1614,1668,1731,1778,1859,1899,1964,1959,2045,2113,2132,2188,2281,2357,2365,2430,2503,2517,2586,2657,2779,2846,2873,3065,3154,3118,3249,3267,.,.,.,.,.
37,45,81,114,140,169,233,323,389,441,505,611,677,719,791,843,869,940,1022,1066,1139,1199,1234,1294,1382,1445,1491,1550,1614,1657,1711,1771,1823,1902,1944,2014,2014,2091,2157,2183,2230,2336,2400,2417,2482,2548,2571,2647,2715,2834,2898,2964,3120,3220,3186,.,.,.,.,.,.,.
