Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
13,184,334,495,667,689,964,1103,1249,1374,1483,1611,1728,1889,1979,2013,2087,2180,2309,2421,2480,2592,2686,2796,2937,2982,3041,3135,3259,3241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,199,361,537,719,734,1038,1169,1328,1439,1574,1705,1815,1959,2071,2120,2202,2271,2427,2549,2622,2735,2781,2904,3067,3130,3185,3259,3266,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11,228,418,598,781,805,1098,1231,1415,1546,1679,1821,1923,2036,2162,2231,2329,2376,2532,2671,2728,2863,2903,3037,3213,3230,3191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10,250,464,652,827,877,1184,1346,1490,1654,1789,1929,2035,2145,2282,2358,2414,2504,2656,2815,2853,3032,3056,3164,3239,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,285,527,727,893,959,1279,1432,1595,1742,1907,2025,2169,2271,2459,2475,2545,2624,2814,2966,3053,3169,3189,3232,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,319,608,810,1010,1044,1366,1555,1685,1848,2049,2159,2313,2475,2617,2599,2668,2788,2960,3083,3174,3214,3260,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7,392,675,902,1105,1167,1480,1679,1846,1982,2187,2277,2501,2640,2768,2794,2886,3006,3121,3194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,447,770,1063,1237,1293,1629,1844,2032,2134,2347,2468,2757,2851,2991,3034,3070,3198,3216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,551,854,1179,1332,1450,1769,1955,2265,2347,2572,2712,2976,3137,3087,3179,3195,3258,3274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,676,959,1337,1492,1635,2068,2174,2600,2490,2877,2933,3159,.,3152,3224,.,.,3274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3,870,1219,1622,1683,2067,2325,2430,3115,2724,3120,3229,.,.,.,.,.,.,3274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,1180,1555,1967,2202,2680,2867,2844,.,3214,3250,.,.,.,.,.,.,.,3284,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1,1816,2593,2658,2917,3033,3185,3108,.,.,3254,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
0,2744,.,3017,3017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
